id	x	y
15245	12.060448	5.9407935
15246	10.142795	5.3233433
15367	13.555477	9.253108
15370	12.1347475	7.146554
15496	11.783164	8.311776
15497	13.882447	5.470992
15624	12.400433	6.3063674
15627	10.049317	6.4833026
15628	10.726105	4.073279
15630	10.547056	9.043459
15753	12.804055	9.86668
15877	11.596058	6.755523
15878	13.351926	7.6346407
16003	14.283048	4.571229
16004	12.044073	7.702288
16007	13.110193	3.68511
16009	12.0416155	8.477904
16129	13.158576	8.642559
16130	10.715299	6.0040817
16131	15.942482	6.1122537
16133	11.1129265	6.154051
16257	12.748295	8.749299
16258	11.286617	5.649066
16263	12.095027	7.664312
16384-1	12.649799	4.382874
16387	10.3813715	7.5172977
16637	13.86782	7.749767
16643	11.786012	8.1468
16764	11.648053	7.82277
16893	13.193323	6.2317142
17018	9.18079	8.105293
17020	12.839429	7.5610967
17022	8.250802	6.895125
17146	12.2771	8.329232
17147	10.341126	7.3379006
17149	12.569729	6.8831663
17275	13.993027	7.778445
17404	12.204688	5.512555
17405	11.485561	7.6147895
17526	14.185661	8.89161
17527	13.632434	4.182064
17528	10.083396	6.300911
17654	12.285337	4.744054
17782	11.648923	7.321797
17785	12.223402	5.9070992
17789	12.499977	5.6355367
17909	10.460504	7.5263557
18035	11.615217	8.348032
18036	11.581509	8.709046
18042	10.018003	8.4192095
18167	14.8887825	6.1360784
18288	13.347346	3.8543065
18290	11.169574	6.554286
18293	12.889799	5.204002
18419	9.775314	9.359881
18420	10.862996	6.7870917
18670	11.153603	8.032413
18801	11.128693	5.4666233
18805	12.435853	9.296442
18926	14.020352	5.4686346
18927	11.636636	8.3079605
18928	13.684202	4.9511056
19050	14.04194	6.527146
19051	12.324807	9.584347
19052	10.074884	5.3019247
19055	11.196588	7.9270344
19177	9.531748	8.892655
19180	11.574044	6.449666
19182	13.491343	8.249435
19305	13.376313	6.9790406
19306	13.139075	4.437167
19310	12.947275	5.1313004
19559	10.083041	6.5422
19685	14.31251	4.4814444
19812	12.016407	9.76525
19820	11.757062	5.352197
19942	12.493879	6.3170395
20071	12.728028	5.717322
20193	11.9285145	7.664519
20194	11.638255	5.223749
20202	10.3666115	8.143709
20450	12.58696	8.78551
20576	13.535914	4.493578
20577	15.014819	4.933506
20703	11.774889	6.7998595
20705	10.36597	4.198336
20825	10.577303	6.434555
20827-1	15.239825	4.651791
20829	12.033445	5.560974
20832-1	10.699431	5.7456145
20951	13.889289	7.0623846
20957	11.167175	8.082683
21082	14.790419	4.1202397
21083	13.377582	5.3431344
21206	8.455697	7.804772
21329	13.021176	9.304322
21330	13.544141	6.3246226
21456	11.534959	6.307612
21581	12.934989	4.2952237
21585	11.719012	8.863756
21710	11.450791	8.925016
21715	13.123529	4.708854
