id	day
1315	1.5
1443	1.5
1447	1.5
1573	1.5
1576	1.5
1704	1.5
1705	1.5
1706	1.5
1709	1.5
1970	1.5
2228	1.5
2231	1.5
2237	1.5
2362	1.5
2626	1.5
2756	1.5
2758	1.5
2883	1.5
2884	1.5
2889	1.5
2891	1.5
3014	1.5
3019	1.5
3145	1.5
3148	1.5
3280	1.5
3409	1.5
3410	1.5
3537	1.5
3538	1.5
3544	1.5
3545	1.5
3546	1.5
3668	1.5
3672	1.5
3673	1.5
3933	1.5
3935	1.5
3938-1	1.5
4061	1.5
4062	1.5
4064	1.5
4068-1	1.5
4455	1.5
4459	1.5
4461	1.5
4721	1.5
4722	1.5
4724	1.5
4847	1.5
4980	1.5
4982	1.5
4983	1.5
5110	1.5
5241	1.5
5372	1.5
5374	1.5
5633	1.5
5634	1.5
5635	1.5
5640	1.5
5768	1.5
5771	1.5
5895	1.5
5898	1.5
6028	1.5
6158	1.5
6288	1.5
6289	1.5
6421	1.5
6422	1.5
6552	1.5
6815	1.5
6946	1.5
7078	1.5
7210	1.5
7337	1.5
7338	1.5
7340	1.5
7345	1.5
7476	1.5
7598	1.5
7731	1.5
7737	1.5
7861	1.5
7992	1.5
7996	1.5
7997	1.5
8122	1.5
8123	1.5
8130	1.5
8254	1.5
8257-1	1.5
8515	1.5
8517	1.5
8518	1.5
8523	1.5
8652	1.5
8777	1.5
8779	1.5
8782	1.5
8909	1.5
8912	1.5
9041	1.5
9044	1.5
9046	1.5
9171	1.5
9173	1.5
9301	1.5
9302	1.5
9307	1.5
9432	1.5
9434	1.5
9563	1.5
9566	1.5
9695	1.5
9700	1.5
9828	1.5
9830	1.5
9831	1.5
9833	1.5
9962	1.5
10092	1.5
10218	1.5
10220	1.5
10226	1.5
10349	1.5
10351	1.5
10352	1.5
10480	1.5
10481	1.5
10484	1.5
10486	1.5
10611	1.5
10613	1.5
10617	1.5
10742	1.5
10744	1.5
10751	1.5
10874	1.5
10878	1.5
10879	1.5
11007	1.5
11011	1.5
11138	1.5
11144	1.5
11269	1.5
11270	1.5
11397	1.5
11402	1.5
11403	1.5
11528	1.5
11531	1.5
11661	1.5
11666	1.5
11793	1.5
11794	1.5
11922	1.5
11930	1.5
12183	1.5
12185	1.5
12187	1.5
12189	1.5
12321	1.5
12445	1.5
12449	1.5
12450	1.5
12579	1.5
12582	1.5
12711	1.5
12842	1.5
12844	1.5
12970	1.5
13231	1.5
13232	1.5
13234	1.5
13493	1.5
13494	1.5
13626	1.5
13757	1.5
13758	1.5
13890	1.5
14022	1.5
