,0_names,0_pvals,0_logfoldchanges,1_names,1_pvals,1_logfoldchanges,2_names,2_pvals,2_logfoldchanges,3_names,3_pvals,3_logfoldchanges,4_names,4_pvals,4_logfoldchanges,5_names,5_pvals,5_logfoldchanges
58,AGRP,0.001051657930283956,1.5118247,RPL27,0.0003638962459470388,0.46224764,GREB1,0.038886915096187,1.2053629,GAR1,0.1869988243793763,4.645084,NSUN5,0.21889900414992458,2.2295187,JPT2,0.1536737245822646,1.3098233
59,GJB1,0.0011131507904607314,2.3879452,CD3E,0.0003864273562717256,1.8873343,CPSF3,0.039192027172587254,1.346482,SNTG1,0.1869988243793763,4.645084,THAP5,0.21899630915312757,1.2910653,COX16,0.1559464975784981,2.1884418
60,MFGE8,0.0012778092923578126,0.7987072,ATP5ME,0.0004091909609896105,0.6281568,ACTG1,0.03894708561036421,0.42822242,RARRES2,0.18360789601088134,1.6442174,SS18L1,0.2185742726077479,0.8897994,SLC26A2,0.16540671198521617,26.745754
61,ARL8BL,0.0013514465853940222,0.91386366,ARID1B,0.0004285334641709442,1.3003571,AKR1A1,0.039403543069172924,1.5845042,DIS3L2,0.18565634585356672,2.5671525,CHST6,0.2220833308230007,2.1759539,ATP6V0C,0.15326278631533155,1.0330368
62,DHDDS,0.0014380309182298941,2.7230062,HOXC8,0.0004433626074772242,2.2900276,TAF15,0.04034935823436417,0.7815381,UTP23,0.18419647053406657,1.4225773,HBP1,0.22446172300326,2.1329205,HNRNPA1,0.15377246728673646,0.7355275
63,CKS1B,0.0014659531688557745,0.48097208,HNRNPH2,0.00046903533804337034,0.47017083,NKTR,0.04104899137678838,2.2249682,GLI3,0.18610489422708748,1.6042708,DSN1,0.22457986052319698,1.4178183,ILF2,0.15703708024495383,0.792695
64,SELENOS,0.001486629071812757,1.1030697,FAM168B,0.00047650075712757654,1.3324772,PPIA,0.040978878781740315,0.41955653,RBM12,0.1863843492855829,1.3006095,ANGEL2,0.22628937829552354,1.7099826,C3H6ORF203,0.16479137365133198,2.7295208
65,TSPAN13,0.0015079550187487324,1.1958933,IGF1R,0.000492969699561026,0.8910102,HSP90AB1,0.041250772772612535,0.59528553,MON2,0.18965280743436558,2.5358856,RIC8A,0.2291931002985713,2.1438541,OARD1,0.16827643442805307,2.8099008
66,B2M,0.0015309566190658496,1.0147731,RPL26L1,0.0004923947123876633,0.3475889,PDE6D,0.04199586491282804,1.133209,PNO1,0.18690851029660818,1.1296431,AIDA,0.22875560397050296,1.228031,MPP5,0.1691885967721957,2.7853405
67,NOL11,0.001570876630915309,0.97928286,ANXA2,0.0005011993333247283,1.505284,TXNDC5,0.04261451952629924,1.0097154,SPSB1,0.1894500519270016,1.9386307,PRXL2C,0.2330236868208881,3.270456,ARHGAP42,0.17436079138510674,6.037709
68,TSPAN16,0.0017394307892490415,23.960863,PMP22,0.0005509907737478648,1.696011,UQCR10,0.04270063659257083,0.73101443,LPAR2,0.19095321054193495,2.4344625,FSCN1,0.23439484390572185,3.202084,MTSS1,0.17436079138510674,6.037709
69,EIF2AK3,0.0017394307892490415,23.960863,RPL37A,0.0005572524850629048,0.45179036,PMP22,0.04308708114956416,1.5796247,EXT2,0.1957492935834617,4.229422,SLC5A6,0.2352260808377051,2.0623295,IRF8,0.16876935150134773,2.6625168
70,CTSA,0.001733788786976823,1.0518978,VIM,0.0005943002915420554,0.834259,FUBP3,0.04319739768667514,0.9196439,TRMT1L,0.19841370191836952,1.8191047,CHAC2,0.23834413194395446,2.077449,MRPS10,0.16744817455235544,2.0204637
71,LARP7,0.001846884021008235,0.79442745,RPL29,0.00061094991789939,0.43046755,HMGB2,0.043232821193074505,0.5614251,WDR44,0.20124835560091195,1.9331481,STK25,0.24178106923219755,3.1108716,ECE1,0.171893215856196,2.744272
72,SPIN1W,0.001994656416775527,2.2627153,AP5M1,0.000660945189598099,1.0625397,NDUFA12,0.04368449996839977,1.0175754,FAM207A,0.1996158248606459,1.353102,TMEM130,0.24178106923219755,3.1108716,MESD,0.16953177962314092,2.01849
73,DPYSL3,0.0020186427891594576,0.6687855,SRGAP1,0.000724562386381705,1.4649452,ATP6V1C1,0.04420109075633485,1.6814377,KIF24,0.20471034310819716,3.9068696,MOXD1,0.24178106923219755,3.1108716,DSTN,0.16635051512818713,0.6581608
74,GNA11,0.0020835074495124243,1.5714079,SEM1,0.0007155009213720783,0.58192796,EIF3D,0.044026191251112914,0.69884205,NOCT,0.20471034310819716,3.9068696,LGMN,0.24496846782487264,2.0438192,S1PR1,0.17483514202370948,2.9188144
75,XPR1,0.0021453299982965987,1.384637,GARS,0.0007206622223141064,0.8080445,SMARCB1,0.044798602908041885,0.79628414,TPD52,0.20069009602836413,1.211074,ETV5,0.24393538654813504,1.3368374,ASB8,0.17281540263120507,2.5984108
76,SENP5,0.0021661088180716342,1.0855825,GLO1,0.0007226638663767283,0.93271714,TSEN2,0.046137437866311894,2.8402717,C11H19orf12,0.20411208563744826,2.3842237,SEC14L1,0.24483315472016245,1.5836204,FARSB,0.16957772740637905,1.6539598
77,SGK3,0.00232976305666675,2.684629,ABHD18,0.0007424648223384226,1.5399805,PPP1CA,0.045176463593531446,0.85370344,MAP2K1,0.20407482544669814,1.5505723,NDUFAF4,0.2460955841531464,1.5924911,TKT,0.17068560271675998,0.9138563
78,Meis2a.2,0.0023631064535425982,1.1463487,SALL1,0.0007451775357401536,0.7577838,WNT5A,0.04576321263741662,0.72027737,SPPL3,0.20486900406664457,1.5528994,AP3S2,0.24575390683207,1.3104317,SMIM7,0.17402772246883025,1.6845027
79,IL6R,0.0024195524026222603,2.6287887,SARNP,0.0008513626191388691,0.8735012,KIFAP3,0.04621227427292687,1.1998127,NPB,0.20437821461111222,1.4948083,ZNF521,0.24929179749196775,1.9602225,KIF5C,0.17429738927856595,1.5835394
80,RGN,0.0024146807836417056,1.2553645,KLHL24,0.0009442094983406303,1.0695878,SPG7,0.04698983750511643,1.6243474,GORASP1,0.20552573968665147,1.8156335,NOC2L,0.248512120636443,1.3269944,MAD1L1,0.17635620824046613,2.0137362
81,HOXB8,0.002508155885948434,1.0437262,HNRNPUL1,0.0009681053280970411,1.1081989,JCAD,0.04691348132936622,1.4548903,HBZ,0.2094384557250247,2.3294964,ABRAXAS1,0.25008255729268125,1.9816413,MTA2,0.17868726696621534,2.547424
82,LACTB,0.0028174038936991147,2.2747188,RPL35,0.0009733998524638596,0.45089635,SF3A3,0.0470667969090154,0.9208675,UTP15,0.20892414457025635,1.3289738,SPECC1L,0.2521673838697688,2.9113305,KIF21B,0.1815266238399633,2.8428187
83,DUSP14,0.0028820639636584987,1.6307634,DTNBP1,0.0010591634848738532,1.6857524,LRRC42,0.04759771869453382,1.937694,TBCD,0.20817099322372837,1.3117843,TGFBR1,0.25265110167412774,2.0072243,COG5,0.18250903598771964,2.6366627
