,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
69,gga-mir-6708,TOMM20,PTTG1IP,VAV3,SP5,PLEK2,OLFML3,ARF1,ENPP3,DAB2,UBE2H,OSBPL3,UROS,GPR34,VDAC2,LURAP1L,RAPGEF3,PPWD1,FKBP1A,PDE6C,TMEM135,VCAN,C1orf198
70,NOG,C1QBP,GAS6,DHX37,KLHL9,SELENOU,ARHGDIB,GNG4,SLC26A4,PTBP1,HOXC12,MCAM,PHIP,ARL8B,CIAPIN1,ALKBH1,PLXDC2,NFIL3,NDUFAF1,WASHC2C,CENPL,TAF11,RCOR3
71,FARP1,SLC34A2,ZNF503,MPZL2,ATP6V0D1,FUBP1,QPCT,PHLDA2,OBSL1,SNAP23,GREB1,G0S2,PTHLH,VASH1,HEBP1,ROBO1,LRRC40,SPATA5,ABRAXAS1,TUBGCP4,MDK,SH3RF2,RCOR1
72,OAF,UMPS,RGS2,BRSK2,CDC42EP4,TUBB2B,FMOD,TSPAN13,HMGA1,DAPP1,HNRNPA1,TRARG1,HIST1H111R,MGAT3,UHRF1,SLC37A1,CEP83,PCNX2,STK40,TSR3,R3HDM1,STK35,KCNV1
73,PLPP3,PKM,RALY,IGF1R,KCNA3,TCF7L2,ALCAM,GSTT1,MLH1,MOSPD2,ADH5,SDC2,VAT1,ERAL1,RPL29,LPAR1,PTPN6,SGK3,PRELID1,ST13,MAP3K7,GLRA2,BANK1
74,BRINP1,IPO5,WDR36,NPM3,AWAT1,PTTG2,PLPP3,FGF12,SLC35E2B,MPZL3,SCOC,DNAJC3,PDE12,TRAIP,INHA,ZIC3,TP53I11,VPS45,HNRNPH3,TIMM17A,PPIF,TACC1,PPP2CB
75,CYP51A1,HK1,SGPL1,RIPK2,XKR8,SPAG9,NCAM1,ZNF706,SOUL,KIAA1522,PPIA,CTSV,FAM240B,DEXI,HK2,MIOX,DCAF5,PNAT3,CSNK2A1,CDC25A,SQSTM1,HSPB3,SLC31A1
76,COL6A3,HDLBP,TMEM120A,RALY,ABCD4,HSPH1,EBF2,SERPINH1,SH3RF1,NAXD,FSTL1,MNX1,TRIM13,HRH1,GLRX5,BSDC1,ANK1,MARS,KRAS,SURF6,CAMK2A,CASS4,SLC12A5
77,SS18L1,NPEPPS,SUSD1,LYPD6B,NDP,MTAP,EBF3,EPCAM,OPHN1,CLDN3,SPARC,LY86,RAB3B,F2RL3,ENPEP,SLC14A1,LACTB,CENPA,SMAD5,SHROOM4,RFX6,SLC38A8,SLITRK1
78,HK2,CYCS,LLPH,B3GNT7,PARP1,CRYAB,DLL1,CPM,EDCH2,TUBB6,RPL26L1,GLRX,PLAC8L1,PRPH,RPL35,ARHGAP27,TPCN3,NDC80,ZBTB2,UTP20,GPR182,SYP,FAM171A1
79,EFNB1,PDCD4,WLS,HOXD11,ZFPM1,TOP2A,CALM1,ATP6V1G1,ASIC4,SLITRK4,RDH10,FAM110B,KAZN,DPH6,COLEC12,GRIK1,WNT2B,HOXA10,WNT5A,GTPBP10,WNT7A,GATAD1,TNIP3
80,GLB1,SSBP2,MKP3,LRP11,BF2,CYR61,GMDS,PERP1,RAB17,LGALS2,DBNDD2,PHLDA2,PDIA5,DUSP4,NFE2L2,KDSR,PRDX4,PCK1,ATP5MC3,SPATS2,BPIFC,HTR1F,Six2
81,OPTC,PAICS,CERK,GCNT1,HSPA8,MAPRE2,CAPZB,DYNLL2,SIPA1,GJB1,ZNF521,ANXA6,SLC38A9,KLHL18,NRBP2,DYNC2H1,PTPMT1,RANBP3,HMGN3,HSPB11,SSR3,gga-mir-3533,PDZRN4
82,GAPDH,IVNS1ABP,KLHL9,SAT1,FN1,HOXD11,chPKCI,KRT14,IGF-I,AP2M1,ALDH1A2,IGFBP5,TTC36,NEURL1,APRT,CSF1R,NUBPL,LDHB,CHTF8,NOL6,gga-mir-454,STAT4,STAP1
83,SPC25,ZDHHC6,PDZRN3,HOXB5,APLNR,ACTG1,SOD1,angiopoietin-2,SECISBP2,PKD2,ENO1,ADRA2B,DISP1,SLC27A6,SLC9A3R2,DNAJB4,HTR1B,ACOT13,PPM1B,CFAP36,PRICKLE2,U2AF2,SLC44A5
84,GARS,MT4L,LSP1,PALD1,GM2A,PRRC2C,LIMD2,TFAP2B,SFTPA2,SLC25A20,BZW2,PTPA,TCOF1,PCBD2,NECAB2,RGS10,IRAK4,IRAK4,CUL2,SLC11A2,KSR2,DRG2,CRAT
85,SPRED1,EIF3H,MVK,SLC16A1,RASSF2,HOXD4,JUN,EMX2,BCO1,CTSC,RPL29,DRAM1,TSPAN12,ASXL3,NARF,KCNK1,CIAO2B,RIC3,ID1,EDEM2,WDR3,IQSEC1,LRRFIP2
86,TCF12,PRELID1,LPAR1,EDEM2,HAS2,GDPD4,MPDZ,MPZL3,PXK,FKBP4,QDPR,PRNP,CRISP3,VAV3,FOS,SLC36A1,ANO5,TSC22D3,MRPL13,AHCTF1,GRID2IP,UBE4A,GUCA1C
87,JCAD,UBE2D3,CD3E,gga-mir-1723,LAMB1,GLCCI1,EYA2,CD44,MAPKAPK5,RFXAP,DYNLT1,STMN2,PIGO,PSTPIP1,METAP2,UBXN2B,EEFSEC,RBM19,COX7B,CRP,TRAPPC9,CACHD1,SLU7
88,NR2F2,NSG1,WIF1,STMN1,PDZRN3,DBNDD1,STBD1,APP,GPR143,PNRC2,HMGN4,FGF8,ILF3,PRDM10,DAB2,EN2,C8orf37,COPB1,PABPC1,SPATA16,TSNAX,EPB41L5,TCEA3
89,DOK4,DUSP19,CFD,BIRC2,ACTB,RASL11AL,HMGN1,TRARG1,APOA1,GJB6,PNRC1,P4HA3,MGMT,UTP20,TMEM183A,TEC,MPC1,EIF3G,RAB6A,ZIC2,SEC31B,DRC1,SLF2
90,SEPT11,EIF4G2,CRISPLD2,KIF5C,ARHGAP8,GRAMD4,TBL1XR1,EEF1A1,HACD1,HSPE1,RPL23A,BSG,SS2,RFWD3,SNX5,ANTXR1,PDZRN3,GRK2,ALYREF,C1QA,CRELD2,ETFA,FAM3C
91,HSPA8,ABCE1,ERO1A,LMO4,NKAIN4,HOXD13,NUCKS1,CTDSPL,PPP6R2,COTL1,RPL37A,NUCB2,GLTP,TTC21B,SLIRP,TBX5,SLC38A10,REXO5,NSUN3,PRDM5,YEATS2,ABHD3,ABHD2
92,HPDL,TFDP1,SPOP,ASB13,DRAXIN,AK1,TSKU,ACTB,USP33,PTX3,USMG5,SLC9A3R2,AP2B1,ENTPD2,COX17,MYO1A,LIMA1,C1H11ORF54,MRPS23,ANGPTL5,ECM2,ZNF518B,DCAF10
93,COA7,SUCLG2,NUCKS1,CTNNB1,DKK3,GDF2,ACTG1,NANOS1,PTPRU,ZBTB7C,CDKAL1,AFAP1L1,SS18L2,LRRC17,ODC1,ZNHIT6,FBXL18,CRLS1,YWHAH,ANKRD24,TGM6,CTSV,RSPH4A
94,MSL1,YWHAQ,P4HA2,NUP205,LONP1,EEF2,EIF5B,HNRNPA3,PLXND1,TP53BP2,PTTG2,ASIP,DYNC2LI1,FGF22,FAU,LAMA4,MTA1,RAB14,GSR,UBE2N,ACOX2,PUSL1,CD34
95,BBOX1,THY1,ZNF609,UNG,RASGRP1,CHCHD10,COL8A1,STMN1,WDR7,PI4K2B,FAM168B,TIRAP,FASTK,PLBD1,BTF3,ATXN3,CCDC61,STOX2,RIOX1,CFAP126,ARHGAP25,KYNU,OSTF1
96,KDR,ASTL,KCNJ5,PIK3R5,SFRP1,SERBP1,CDV3,RARB,PPP4R1,TPM1,RUNX1T1,SPR,RERGL,ARHGEF26,ARHGEF39,ZBTB45,SOSTDC1,CBFA2T2,LASP1,CHIA,POMT2,WWOX,PDRG1
97,MAPRE2,TGIF1,TUBAL3,SLC2A1,CGNL1,THBS1,COL6A3,GPX8,MSGN1,RARRES1,GP1BB,SLIT3,SGPP1,ABCC8,RPS16,FEZF1,DPH6,PQLC2,PRKCI,SAMD7,SMIM8,S100A1,PLEKHM3
98,PTGS1,CAPRIN1,PPP2R3C,HOXD4,TMEM37,ZEB2,ATOH8,CARMIL1,ANKRD55,TNNC1,HSDL2,SFRP1,LATS1,C7orf26,EPB42,DNAAF1,MELTF,ABRACL,REPS1,CYP2C18,CTSK,USP14,VPS25
99,H2AFZ,ANO3,GRTP1,MKRN1,MAPKAP1,CMTM8,HES4,SH3BGRL3,gga-mir-6659,UGT1A1,TBCA,LAPTM4B,PRMT9,ZBTB8OS,YBX1,GRPEL2,NECAB3,LMAN2,ADRM1,ACAP3,CACNA1E,KLHDC10,FAM173B
100,FSTL1,PNRC2,ANKRD44,EWSR1,CANX,FASN,PDIA6,DAG1,PRKCB,CSRP2,MZT1,PMEL,MAK16,NUP54,NT5DC2,SMPX,DPP4,GMPS,SLC35E3,NIPSNAP1,KDF1,PPARA,TMEM26
101,HIC2,PSMA1,MID1,PTCHD1,NME2,FGFR1,PDIA4,SEC61G,ATP4B,RAMP2,EVX1,PLPPR3,NTRK2,RPS6KL1,NMRK2,UBA5,OSBPL5,SNX24,PSMD9,CLEC3A,KIF9,C1R,CYBRD1
