,0_names,0_pvals,0_logfoldchanges,1_names,1_pvals,1_logfoldchanges,2_names,2_pvals,2_logfoldchanges,3_names,3_pvals,3_logfoldchanges,4_names,4_pvals,4_logfoldchanges,5_names,5_pvals,5_logfoldchanges,6_names,6_pvals,6_logfoldchanges,7_names,7_pvals,7_logfoldchanges,8_names,8_pvals,8_logfoldchanges,9_names,9_pvals,9_logfoldchanges,10_names,10_pvals,10_logfoldchanges
36,NPM3,3.6512495267103776e-07,0.40661362,LRIG3,0.0005113610946010862,0.59779084,RDH10,3.776505449613208e-15,2.1162584,LMO4,3.908357777704164e-13,1.0304034,WDCP,0.1301983214179153,1.5614257,CASR,0.19268833425300985,1.8859745,CHCHD2,0.10016373004982047,0.9548231,CENPW,0.2315915371911291,1.6182041,CDC25A,0.1896683258732471,2.4247477,TMEM184C,0.22944111701700387,1.6168299,PHF20L1,0.20566296503684417,1.7143633
37,SDC3,6.747686975225497e-07,0.8173717,RAB30,0.0006099702828911206,0.7863719,TBX22,6.132060659297478e-15,4.3630404,HOXC10,8.080108127328823e-13,1.1848594,ACTA1,0.1337633736300433,1.28869,COL17A1,0.19526050453407384,4.645321,ABCA5,0.10260806464870847,2.8732202,PDSS2,0.24558138796943468,3.04434,CLDN12,0.19585775579592185,4.327329,RAB11FIP2,0.23863960831287848,3.1838932,SPIN1W,0.21629337695041667,3.7855654
38,VRTN,1.138624125416756e-06,1.2712299,OSBPL5,0.000642305678887312,1.0029442,OLFM1,1.125342799334374e-14,1.8117285,ID4,1.0708210780110238e-12,1.3235538,sTnT,0.13583443501970746,3.3365235,TRPV1,0.19503129386689613,4.1910696,SMC3,0.10503441269020612,0.88961995,AKAP12,0.2403666085790681,0.95275414,BAG5,0.19761518857361354,2.4458978,BRI3,0.23155244944396308,1.3338338,MORC3,0.21071392627280677,2.20236
39,BMP2,1.5019744795241396e-06,2.4949145,PCP4,0.0006744596646117116,0.8126503,RASD1,1.6113349693182847e-14,4.1795344,TUBB2B,1.4493333942640223e-12,0.7967859,DEGS1,0.13809576365595005,1.2671645,ZC3HAV1,0.19383910213114697,2.4251597,RASL11B,0.10524901813962377,1.5624121,SNRPA1,0.2418475369212703,1.3076447,CIR1,0.19754918949216768,1.815343,COBLL1,0.24012825342602578,3.1768243,PHB2,0.21847145419186237,3.6702874
40,EVX1,1.5445603053499717e-06,2.1016946,SALL1,0.0007565240494989333,0.44894612,GPC1,1.5910594944850673e-14,1.204919,CERCAM,1.882313854492125e-12,2.5012038,EFCAB14,0.14505885300605778,2.2927315,POU2F1,0.19298080857949354,0.9917525,PTBP1,0.10487777626726348,0.67278284,LRRC8A,0.2509141820326383,3.331739,ITGAV,0.20183635316106444,2.3846626,SZT2,0.24050918760817636,3.1597002,ALKBH8,0.21965521238610608,3.6127632
41,SPRY2,1.6332412436973947e-06,1.0429943,OPRL1,0.0007844377235466243,1.938487,SDC4,6.071874908635414e-14,2.2420511,SCD,2.7636294280933284e-12,1.0397503,MSGN1,0.14767466056104936,0.6784268,CORO2B,0.1996696362204185,4.0209756,DALRD3,0.1065236111662644,2.199802,ELAVL4,0.24415205213215083,1.586228,RHOGL,0.20303200517832443,1.7883024,CRIP1,0.2397696187119695,3.2676694,ATPAF2,0.21616235901678388,2.2231438
42,GAD1,2.945669460510436e-06,1.5264385,KRT19,0.0009156834469488192,0.6669104,PAX7,8.84037121760087e-14,2.2423031,VCAN,2.9974639197477217e-12,1.3933557,ATP2A2,0.150963959685314,0.757364,SCN3B,0.19876721824478585,2.3987105,CNEP1R1,0.10756138747275967,1.8614204,PGRMC1,0.24716587386890446,1.3302842,CD63,0.20267361105812692,1.763185,MOSPD2,0.24069996347511718,3.1512127,SSRP1,0.21188761495637276,1.3989185
43,HOXB8,3.883241301736481e-06,1.4808522,RNH1,0.0010889818224270396,0.41519675,PLPP3,1.3114100583548853e-12,1.8142306,PGAM1,3.8514519772976586e-12,0.6155077,PBX3,0.15206022950993922,2.2646494,TIAM2,0.20023449012040753,2.4258149,CLDND1,0.10725668275880719,1.6756952,RRN3,0.2491180659494813,1.9783167,GGPS1,0.20730546904793484,2.335747,FN1,0.238888355989149,1.5967588,DLST,0.22436593386406326,3.7571533
44,GREB1,5.458300269188815e-06,0.9570856,SP5,0.001133967819405294,0.5328536,CENPX,1.404582105948366e-12,1.104654,PLEK2,6.301217534841166e-12,3.6330335,LMO1,0.15258452590234953,1.632417,MYLK,0.19936731123242243,1.5781515,ANO3,0.10966022133124864,2.8460052,PANX2,0.2545350328029181,2.9111369,SAMD4A,0.21344819116439173,4.0329714,DCAF5,0.24543000559741657,3.0638385,DR1,0.2204118212072319,2.1364088
45,GCNT1,1.1739357749794895e-05,2.0373247,KLHL9,0.0013171813181539966,0.727509,TMEM47,3.443743568038893e-12,2.895845,YBX1,5.2851629900665445e-12,0.41002172,PPHLN1,0.1525310032803825,1.2076803,IQSEC1,0.2043588910294024,3.8688028,TMEM18,0.10872153895151364,1.6798283,PTH1R,0.26286702041574894,2.9705913,SP5,0.20491461942478847,1.2938868,OSBPL2,0.24549373329793578,3.0831778,ZRSR2,0.22539237365974896,3.4582634
