index,batch,cell_names,library_id,n_counts,unique_cell_id,time_id,sample_id,n_genes,n_counts_pre_norm,S_score,G2M_score,phase,leiden,pr_NearestNeighbors,pr_SVM-Linear,pr_SVM-RBF,pr_DecisionTree,pr_RandomForest,pr_NeuralNet,pr_NaiveBayes,pr_LDA
23474-2,2,bcBRCU,6s1,732.0,None,d3,d3,1117,732.0,-0.16423231,0.20186691,G2M,8,SOM,SOM,SOM,SOM,IM,SOM,SOM,SOM
23475-2,2,bcBIPS,6s1,677.0,None,d3,d3,1091,677.0,0.03597994,-0.033026412,S,15,WD,LPM1,LPM1,pNTB,LPM2,LPM1,IM,LPM1
23597-2,2,bcHJIK,6s1,1423.0,None,d3,d3,981,1423.0,0.07599047,0.04097303,S,3,IM,IM,LPM1,SOM,LPM1,IM,LPM2,LPM1
23598-2,2,bcCKFV,6s1,1020.0,None,d3,d3,1200,1020.0,0.28561443,0.31444225,G2M,3,LPM2,IM,LPM2,LPM2,LPM1,LPM2,LPM2,LPM1
23599-2,2,bcFLJK,6s1,824.0,None,d3,d3,1141,824.0,0.042501487,0.17487915,G2M,2,NOTO,LPM1,LPM1,SOM,LPM1,NOTO,LPM1,LPM1
23723-2,2,bcFPMD,6s1,1550.0,None,d3,d3,1046,1550.0,-0.12027199,0.06968863,G2M,3,EPID,IM,LPM1,strNTB,LPM1,pNTB,LPM1,LPM1
23724-2,2,bcDQWD,6s1,914.0,None,d3,d3,1135,914.0,-0.0721082,-0.01890212,G1,3,WD,LPM1,LPM1,SOM,LPM1,LPM1,strNTB,LPM1
23725-2,2,bcFPUJ,6s1,908.0,None,d3,d3,1144,908.0,-0.1782648,-0.106697716,G1,0,LPM2,LPM2,LPM2,LPM2,LPM2,LPM2,LPM2,LPM2
23726-2,2,bcIFOJ,6s1,755.0,None,d3,d3,1105,755.0,0.57085115,-0.17036808,S,0,IM,IM,IM,LPM1,IM,IM,LPM1,IM
23849-2,2,bcHJMJ,6s1,1535.0,None,d3,d3,974,1535.0,-0.000992056,-0.1671903,G1,0,aNTB1,LPM1,LPM1,SOM,LPM1,aPSM,LPM1,LPM1
23850-2,2,bcEURS,6s1,876.0,None,d3,d3,1169,876.0,0.36188287,-0.4557103,S,5,pNTB,pNTB,LPM1,WD,LPM1,LPM1,LPM1,LPM1
23851-2,2,bcAZZI,6s1,776.0,None,d3,d3,1095,776.0,-0.17747259,0.3615455,G2M,7,EPID,IM,LPM1,pNTB,LPM1,LPM1,LPM1,LPM1
23852-2,2,bcDUUC,6s1,732.0,None,d3,d3,1108,732.0,0.15774587,-0.40121704,S,2,LPM1,LPM1,LPM1,LPM1,SOM,LPM1,LPM1,LPM1
23975-2,2,bcASBL,6s1,1445.0,None,d3,d3,1039,1445.0,0.013576727,0.12957606,G2M,2,pNTB,pNTB,pNTB,pNTB,pNTB,pNTB,LPM1,pNTB
23976-2,2,bcFVIY,6s1,996.0,None,d3,d3,1150,996.0,-0.19281717,-0.068734914,G1,5,EPID,LPM1,IM,pNTB,LPM2,pNTB,LPM2,LPM1
23977-2,2,bcFTVX,6s1,829.0,None,d3,d3,1142,829.0,-0.186681,-0.02879294,G1,3,aPSM,SOM,SOM,SOM,aPSM,ALNT,aPSM,aPSM
23978-2,2,bcGANL,6s1,737.0,None,d3,d3,1128,737.0,-0.35030884,-0.1062399,G1,2,aNTB1,pNTB,aNTB1,pNTB,aNTB1,pNTB,aNTB1,aNTB1
24101-2,2,bcHHFU,6s1,1343.0,None,d3,d3,1005,1343.0,0.060555845,0.045347597,S,9,ENDTH,IM,IM,IM,IM,IM,IM,IM
24102-2,2,bcFXIK,6s1,939.0,None,d3,d3,1227,939.0,0.18360656,-0.09060058,S,13,NC,LPM1,LPM1,WD,LPM1,LPM1,LPM1,LPM1
24103-2,2,bcCCRH,6s1,963.0,None,d3,d3,1138,963.0,-0.2117267,-0.02360762,G1,0,SPP,LPM1,LPM1,strLPM,SPP,SPP,SPP,LPM1
24227-2,2,bcCFPU,6s1,1310.0,None,d3,d3,1286,1310.0,0.26542014,-0.22597218,S,2,EPID,LPM1,IM,LPM2,LPM1,EPID,LPM2,LPM1
24228-2,2,bcHEWZ,6s1,990.0,None,d3,d3,1139,990.0,-0.099666215,0.114009455,G2M,2,WD,LPM1,LPM1,strNTB,LPM1,SPP,LPM1,NMP
24229-2,2,bcAYGF,6s1,736.0,None,d3,d3,1129,736.0,0.2780919,-0.15212943,S,11,SOM,SOM,SOM,SOM,SOM,SOM,SOM,SOM
24353-2,2,bcBAIS,6s1,1372.0,None,d3,d3,984,1372.0,0.18545367,-0.23134544,S,2,ENDO,aPSM,LPM1,SOM,SOM,aPSM,LPM1,aPSM
24354-2,2,bcGKLJ,6s1,1071.0,None,d3,d3,1201,1071.0,0.30017942,-0.3203217,S,2,pNTB,pNTB,pNTB,SOM,LPM2,SOM,LPM1,NMP
24355-2,2,bcBSNN,6s1,832.0,None,d3,d3,1149,832.0,0.06497356,0.008276045,S,0,ENDTH,IM,LPM1,SOM,LPM1,SPP,LPM1,LPM1
24479-2,2,bcDIXP,6s1,1332.0,None,d3,d3,950,1332.0,-0.06842745,-0.3137541,G1,15,pPSM,aPSM,SOM,SOM,SOM,aNTB1,pPSM,pPSM
24480-2,2,bcAFIB,6s1,911.0,None,d3,d3,1244,911.0,0.018251477,0.1399208,G2M,0,pPSM,LPM1,LPM1,WD,LPM1,pPSM,LPM1,LPM1
24481-2,2,bcBHCD,6s1,816.0,None,d3,d3,1163,816.0,0.01123289,0.045654826,G2M,5,LPM2,LPM1,LPM2,pNTB,LPM2,LPM2,LPM2,LPM2
24605-2,2,bcAEHL,6s1,1226.0,None,d3,d3,1242,1226.0,-0.19870432,-0.21605934,G1,3,SPP,IM,IM,SPP,IM,IM,IM,IM
24606-2,2,bcBGYX,6s1,1101.0,None,d3,d3,1192,1101.0,-0.01480004,0.17602499,G2M,2,aNTB1,LPM1,LPM1,WD,LPM1,aNTB1,LPM1,LPM1
24607-2,2,bcCEGL,6s1,773.0,None,d3,d3,1152,773.0,-0.21009761,-0.39407295,G1,1,EPID,LPM1,LPM1,WD,LPM1,IM,LPM1,LPM1
24608-2,2,bcDETG,6s1,746.0,None,d3,d3,1123,746.0,0.12401682,-0.14369538,S,8,strLPM,LPM1,LPM1,LPM1,LPM1,LPM1,LPM1,LPM1
24609-2,2,bcALMW,6s1,710.0,None,d3,d3,1106,710.0,0.28717345,-0.06259452,S,17,NOTO,LPM1,LPM1,WD,LPM1,LPM1,LPM1,LPM1
24731-2,2,bcBOGC,6s1,1390.0,None,d3,d3,964,1390.0,0.07187185,-0.1618465,S,0,EPID,LPM1,LPM1,LPM2,LPM1,LPM1,LPM1,LPM1
24732-2,2,bcCSYO,6s1,982.0,None,d3,d3,1197,982.0,-0.14144689,0.043835565,G2M,12,IM,IM,IM,IM,IM,IM,IM,IM
24733-2,2,bcGHKY,6s1,836.0,None,d3,d3,1125,836.0,-0.12025711,0.045947924,G2M,3,aNTB2,LPM1,LPM1,SOM,LPM1,SOM,LPM1,LPM1
24857-2,2,bcHDVI,6s1,1475.0,None,d3,d3,1016,1475.0,-0.16048287,0.17024401,G2M,0,NOTO,LPM1,LPM1,LPM1,LPM1,LPM1,LPM1,LPM1
24858-2,2,bcDWGO,6s1,976.0,None,d3,d3,1142,976.0,-0.299223,0.05976862,G2M,3,ENDTH,LPM1,IM,SOM,LPM2,LPM2,LPM2,LPM1
24859-2,2,bcBZQW,6s1,831.0,None,d3,d3,1124,831.0,-0.20850392,-0.1264995,G1,16,pNTB,pNTB,pNTB,strNTB,pNTB,pNTB,LPM1,pNTB
24860-2,2,bcBOSO,6s1,836.0,None,d3,d3,1078,836.0,0.2672438,-0.18606058,S,22,IM,IM,IM,strNTB,IM,IM,IM,IM
24983-2,2,bcATYF,6s1,1316.0,None,d3,d3,1203,1316.0,0.06754292,0.13242927,G2M,3,ENDO,LPM1,LPM1,WD,LPM2,ENDO,strLPM,LPM1
24984-2,2,bcHPHS,6s1,938.0,None,d3,d3,1157,938.0,0.19956425,-0.18759036,S,4,ALNT,LPM1,LPM2,LPM2,LPM2,ALNT,LPM2,LPM2
