,0_names,0_pvals,0_logfoldchanges,1_names,1_pvals,1_logfoldchanges,2_names,2_pvals,2_logfoldchanges,3_names,3_pvals,3_logfoldchanges,4_names,4_pvals,4_logfoldchanges,5_names,5_pvals,5_logfoldchanges,6_names,6_pvals,6_logfoldchanges
672,DDX10,0.09615767300219216,0.29169917,PPP1R9B,0.4789082265251142,0.14941634,CIB1,0.4644205429526448,0.27951866,AP1S2,0.5654641954133626,0.39606842,PHLDA2,0.3119331939553054,1.3585986,ANXA6,0.7255777788542233,0.44786084,LMO4,0.6238616401155084,0.5011809
673,UQCRC1,0.09623506966283783,0.2397347,LMO4,0.4789572371837,0.115708694,SLC31A1,0.4648922592931306,0.31714782,ALKBH5,0.5657326818912061,0.20761773,NRBF2,0.31226180848004403,0.919669,DCAF5,0.7263764732299196,0.73345613,TWIST1,0.6241184675271902,1.788609
674,UBE2F,0.09662280100006432,0.2574182,BET1L,0.4790797758112135,0.37366387,TRAIP,0.46528555970990193,0.42503047,ITPA,0.5658094035570181,0.24302915,STMP1,0.3128209765019615,0.39596322,KATNA1,0.7266837426510206,0.7293172,ETV6,0.6241184675271902,1.402121
675,TUBB2B,0.09676268980529447,0.19465017,KLHL15,0.479300388466116,0.87321943,ATP6V0B,0.4653642419822961,0.39883932,LEPROTL1,0.566308216131046,0.50250435,HEATR5B,0.3131172734311669,1.5576969,EYA2,0.7272369383912389,1.9416525,RBX1,0.6241184675271902,0.76118714
676,PSMB2,0.09787194448959499,0.20254262,PFDN6,0.47954557865407477,0.103903696,ECT2,0.4653904710497746,0.31212413,IBA57,0.5663849752502108,0.2763825,DBNDD2,0.31387531587705264,1.3948957,HADHA,0.7276673000759943,0.11816729,C26H6orf106,0.624375340624231,1.4147975
677,MED27,0.09801327693027923,0.5916408,AIFM1,0.4802570170417333,0.23621738,PAICS,0.4653904710497746,0.06750425,WNT3A,0.5670376292064767,1.1439863,SNX27,0.3145024347448183,0.9394254,SGCG,0.7281592471825351,1.7280897,NAV1,0.6248892237714792,1.4529978
678,MED6,0.09810758910499849,0.47732612,NTPCR,0.48239477996440294,0.2982475,ORC1,0.465600333166602,0.46709335,APOD,0.567191247204295,0.88687986,RALB,0.3145354638056018,0.42760274,CAMK4,0.7283437562364217,1.6818069,ATP6AP2,0.6248892237714792,1.407283
679,ATP6V1E1,0.09850133706011843,0.35064965,PTPRA,0.48246858806494164,0.30199638,IFT57,0.4659152249128685,0.86378026,TBPL1,0.5673448851381155,0.5391865,EXOC7,0.31473368606027297,0.57500666,C1H12ORF57,0.7283437562364217,0.13927296,PTGR1,0.6248892237714792,1.4462996
680,DR1,0.09923706388188581,0.44674432,RBM33,0.4828131070052477,1.6175919,HSPA4,0.4659939663276026,0.18116939,SRP72,0.5676522207924954,0.19940746,SRGAP1,0.31476673108439623,1.3843544,ELMO3,0.7285282810326834,1.636954,SMARCB1,0.6256603904889195,0.337737
681,PRCC,0.09925293399897987,0.3440644,HIC1,0.4828131070052477,1.6175919,KPTN,0.4661252184408462,1.4976276,FCF1,0.5681518111548177,0.09368562,ZC3H15,0.3147997783890032,0.25891256,SGMS2,0.7285282810326834,1.1631821,CDC25A,0.6259175371573422,1.455618
682,HNRNPA2B1,0.09945942987051139,0.14726911,GALNT9,0.4832562562302648,2.608884,HDGF,0.46733370055497747,0.08406479,ARSA,0.5690746839887392,0.5381474,USP7,0.31522960087364227,0.30370933,PES1,0.7286513063044531,0.5768077,NDUFB6,0.626431966983189,0.50208855
683,CWC22,0.09993726700106352,0.4734625,PSMD4,0.4834040216962887,0.2001553,OMA1,0.4684386126023141,0.6197877,SDHC,0.5692670392398866,0.33475175,BABAM2,0.3162892674198362,0.64724284,GALNT9,0.7287128215615284,1.593445,DSCC1,0.626431966983189,1.4319929
684,GCN1,0.10008097458783612,0.32322252,BCDIN3D,0.48446372488608225,0.83102965,EXOSC8,0.4684386126023141,0.13475665,TMEM209,0.5698057990292584,0.2990102,FGFR1OP,0.3163887308863085,0.6895097,ZNF639,0.7297588479230689,0.2662599,TMEM33,0.6277188365266475,1.3986263
685,NUP93,0.10081002021019522,0.3489657,COX15,0.48466101779985826,0.34367752,GADD45B,0.46878090205802625,0.5059584,CDC25B,0.5703448019230011,0.84820694,MAD1L1,0.31648821487763035,0.64528817,COBLL1,0.7301281539051063,0.5199108,AIP,0.6279763465102146,1.4215182
686,DDX49,0.10092255573742524,0.49686137,PLEKHB2,0.4872792545597,0.62988675,SMC2,0.469044295791879,0.098697305,E2F4,0.5713849931744245,0.3494094,SMIM7,0.31688635609168936,0.42902198,TMEM199,0.7302512698119827,0.2191994,SIAH1,0.6284915023446818,1.4311566
687,TOP2B,0.1009466835104506,0.35173076,PRIM2,0.4879721372883704,0.34901097,MKRN1,0.46938683000281434,0.10107528,MDGA1,0.5717704781054034,0.5405494,PSPC1,0.31708554984812864,0.34287736,SLC38A2,0.7303128303724469,0.22098365,TTF1,0.6284915023446818,1.3737829
688,GPI,0.10228080337089297,0.18762283,PFN2,0.48802164924222047,0.1302062,KCTD1,0.4697031381540073,0.83729285,CHCHD2,0.5719247066917057,0.10084045,MAP2K4,0.31708554984812864,0.59185433,RASGRP1,0.7303128303724469,1.0210364,RAB9A,0.628749148143622,1.3773903
689,NANS,0.10277756138329074,0.5065039,ERGIC2,0.4890868114332293,0.15671517,CACNG4,0.46986133639794736,1.3087317,PPDPF,0.5719632669277551,0.41680804,RARB,0.31818258304007363,1.6906503,TCEB3,0.7307438029262348,0.25141072,DIS3,0.6292645753748927,1.4117959
690,NEK4,0.10288367550489501,0.8914925,ELOF1,0.49052552330367816,0.23562479,FAM96A,0.4702305801097044,0.21397103,CXXC5,0.5721560866406277,0.14057493,TMPO,0.3182824364796034,0.3604551,CFL2,0.7311748604943245,0.13820985,TNFRSF21,0.6292645753748927,1.4044542
691,SF3A3,0.10288367550489501,0.2871055,KIAA0907,0.4907489754395048,0.6724749,FANCG,0.470547202239991,0.77605367,DHX30,0.5723875110567089,0.3115472,H3F3C,0.3187153718932668,0.095105834,ABHD14B,0.7314828107376561,1.0183052,BLOC1S4,0.6297801832771268,2.1109438
692,DNAJC2,0.10294084995844574,0.2643904,COL1A1,0.4911463587211703,0.7609944,SUMF1,0.470547202239991,1.2592757,TAOK3,0.5723875110567089,0.5415648,BRIX1,0.3203172413239205,0.20807254,TRRAP,0.7317292020856043,0.64671814,TPX2,0.6300380549147095,0.7941552
693,KAT2A,0.10298987674170705,0.5569673,CEP170,0.4911960437817041,1.3366876,EIF3A,0.4707847460598763,0.12024167,TNFRSF19,0.5725803986915852,0.8915699,CHD1Z,0.3203506694756293,0.3771837,DRAM2,0.7320988409750069,0.17064086,NAA20,0.6300380549147095,0.48538056
694,COX7A2,0.10395784883286847,0.23545463,LHFPL2,0.4920411027058479,1.8391818,MSH2,0.47242295620112484,0.46247324,CHD7,0.5726961460844229,0.2077227,COPS7A,0.3204175326204176,1.5616845,SYNGR1,0.7320988409750069,0.74779284,DCPS,0.631069992099258,1.4096242
695,NDUFA8,0.10424634499656411,0.19603844,LAMTOR2,0.4922151821980114,0.14149913,REV1,0.47242295620112484,0.90479815,GPHN,0.5731592466943702,0.7013504,SLX4,0.3204844048870198,1.4568781,CTNNBIP1,0.7325301649176565,0.17547822,PNPT1,0.631069992099258,1.773729
