,0_names,0_pvals,0_logfoldchanges,1_names,1_pvals,1_logfoldchanges,2_names,2_pvals,2_logfoldchanges,3_names,3_pvals,3_logfoldchanges,4_names,4_pvals,4_logfoldchanges,5_names,5_pvals,5_logfoldchanges,6_names,6_pvals,6_logfoldchanges,7_names,7_pvals,7_logfoldchanges,8_names,8_pvals,8_logfoldchanges,9_names,9_pvals,9_logfoldchanges,10_names,10_pvals,10_logfoldchanges,11_names,11_pvals,11_logfoldchanges,12_names,12_pvals,12_logfoldchanges,13_names,13_pvals,13_logfoldchanges
219,PSMG4,0.12616135690184668,0.32573828,SARNP,0.2806465254657726,0.12716879,NUF2,0.005615238843194342,0.6458772,ZC3H13,0.10528414313463405,0.27342018,WDR75,0.07676393366929048,0.60714877,GPX8,0.0006856771100409055,1.8089197,FAM188A,0.39271405212144206,0.5987405,RALB,0.05179936495982634,0.9542685,IREB2,0.01446590263530021,1.2158768,EDC3,0.4355590502342701,2.2424502,EIF2S2,0.6203791719897496,0.13232183,TTC27,0.4898300017675443,0.76393867,BUB1,0.496898814056036,0.609457,SNRPE,0.15035013105217365,0.76182276
220,EBNA1BP2,0.1262590502233152,0.34263346,ARHGEF6,0.2827697643428436,0.80566144,PPP1CC,0.005651613662810447,0.31792077,JAM3,0.1089902532080528,0.44829112,NDUFB3,0.07859305572335967,0.29433295,ARID3A,0.0006885317730551345,0.7251047,SSR2,0.39291649202788126,0.26414242,S100A10,0.0518467934570662,1.513081,SDHAF2,0.014500016546941032,1.5508907,XPO1,0.43578394286190747,0.37791866,AGPAT5,0.620800668330374,0.83140874,APP,0.48990738586537075,0.6238388,CEP76,0.49713277392037303,2.0482337,MCM6,0.15057543174120444,1.7778383
221,YWHAZ,0.1264406369653756,0.12572107,ABHD4,0.28415663818897596,1.0596933,DPYSL2,0.005666001401126906,0.3322987,LAMP1,0.10909507105725463,0.31908727,USP22,0.07900251844992542,0.3529932,ATP5MC2,0.000709051885573911,0.3863413,SLC25A17,0.39390067083458213,0.4569392,TBL1X,0.052207075159061395,0.49341193,SNRNP25,0.014600493597690343,1.6144332,COP1,0.43617766605025565,2.0256977,LRRC40,0.6215737349740446,0.8451148,VIPAS39,0.4913789327368754,2.138551,ETFA,0.49752283740484915,0.29121405,DAD1,0.15057543174120444,1.1176392
222,SEMA6A,0.12899952336737175,1.0820315,CHERP,0.28467671817481977,0.2059805,YWHAB,0.005668587310195453,0.20407315,AK1,0.11263483495083351,0.47279406,GNPTAB,0.07921596258913965,0.6369092,SS18,0.0007140423516691629,0.7978318,SPEN,0.3950604368733661,0.5635953,CELF2,0.052405095104937606,2.386417,PFDN2,0.014731569399422427,0.8495639,ZNF639,0.43668418274049126,0.93609434,HMOX1,0.6230507492291895,2.176566,LIPA,0.49184412437969016,2.1162217,COX5A,0.49892841420792844,0.23784779,UQCRH,0.1507107356389461,0.8335696
223,ID4,0.13005331880354487,0.2586281,AATF,0.28732485744215785,0.35586175,DDX46,0.005792839380870111,0.47866228,MYL6,0.1128398103087709,0.19153509,SLC25A6,0.08060049412159569,0.13290718,RAMAC,0.0007254289479901181,0.7846703,APCDD1L,0.39564109324919183,1.9861149,TBXT,0.05299602254741697,0.9795499,RPL27,0.014861354519654918,0.30332953,EEA1,0.43736006512351233,1.9723651,CENPS,0.6249519974964688,0.36676523,KDELC1,0.49285284983647737,0.7735692,KDM5B,0.5003360984897083,0.41090268,AP5M1,0.1511624179773575,1.6636287
224,ACP1,0.13028204255026105,0.37559104,WBP2NL,0.2880776994289248,0.538126,YTHDF1,0.0058774145593193435,0.54538274,YPEL1,0.11321464809062355,0.7089128,TPI1,0.08169410063940627,0.12324313,TMED2,0.0007587606625813398,0.5381131,ARL6IP1,0.39596067392957957,0.5507555,HSBP1,0.05300292640919702,0.5763105,NDUFB10,0.015302072589304192,0.67158216,LSAMP,0.4379237601128898,1.2949101,KMT5B,0.6253043550617489,0.7887187,RAD17,0.4940181400646757,2.108853,Meis2a.2,0.50064920304192,0.5081806,PEX5,0.1512076428792307,2.6530576
225,IGF2BP3,0.13067350091362046,0.11399924,TBC1D22A,0.28984588497741637,0.72029084,EIF4G2,0.0059126296822147924,0.15631825,EAF2,0.11480696762168861,0.56992936,DAG1,0.0817065028579299,0.539308,ST14,0.0007807213276684844,1.7954144,TARDBP,0.4009487263269056,0.113495775,PKM,0.05301673638722319,0.35378712,UROS,0.015832801997932862,3.7831397,SEC61A1,0.4380365492370133,0.5591649,TAF13,0.6254453220691258,0.36212158,ZFAND6,0.4947180211497232,0.9703286,MCMBP,0.5008840996072266,0.67750657,ACTR2,0.15252365396505785,1.203622
226,FCF1,0.13115691637000487,0.27157462,SRSF5A,0.2903537899043189,0.07274769,THBS1,0.006051479268869816,1.9855621,RUFY3,0.11601797070421427,0.9905406,ACAD9,0.08181405274896845,0.38681862,COL5A1,0.0007902529143156995,0.8573934,BCAP29,0.40130017648723826,0.8182246,DDR1,0.05388584527541632,1.2566056,SDHB,0.01592652219186789,1.0024472,SKP2,0.4392783317660832,0.38680115,RBM12B,0.6266440942265767,0.8209144,SSRP1,0.4952627393073059,0.4616917,MESD,0.5011973858625361,1.1695358,PSMA1,0.1527058547162027,1.8800654
227,BTF3,0.13158404464492504,0.12879647,JMJD1C,0.29414830549637305,0.45541015,HNRNPA1,0.006117644777811965,0.15392451,ARID4A,0.11610710127512933,0.56297916,HES4,0.0819507237291073,0.30792183,EGLN1,0.0007948495776927324,0.76523817,SDC3,0.40332460154377214,0.3946879,PPP2R2D,0.05396289295259213,0.8514436,RAB11A,0.016020729846350796,1.514796,SMNDC1,0.44023927402542085,0.67164475,DDX6,0.6277732520462337,1.5831388,BLOC1S5,0.49604146348280065,0.869777,VCAN,0.5027653729035795,0.823005,FASN,0.1532534506728071,1.2410463
228,OLFML3,0.13236428049725463,0.6524851,CNMD,0.29571809053703424,0.73166794,PDS5B,0.0064600088732965225,0.54017526,HOXB9,0.11743465116201598,0.9142498,CTNNBL1,0.08302563682701661,0.52421194,PPP2CA,0.0007956041172773435,0.49800867,TNFAIP1,0.40379490566972465,0.65423924,TJP2,0.054321316447373945,2.0377529,HTD2,0.0165297868759505,1.0861791,NIP7,0.44182462791509847,0.48017314,C1orf216,0.6288326296011236,1.6014879,CSNK2A1,0.49627520806375924,0.32773107,MTRF1L,0.5040216269452874,1.9795471,ARHGAP21,0.15389419869920667,2.7347155
