index,batch,cell_names,library_id,n_counts,unique_cell_id,time_id,sample_id,n_genes,n_counts_pre_norm,S_score,G2M_score,phase,leiden
3660-0,0,bcCDRV,35s1,1590.0,None,d4,d4,781,1590.0,-0.11110009,0.31729513,G2M,2
3661-0,0,bcBRWL,35s1,1250.0,None,d4,d4,728,1250.0,-0.28392568,0.2913415,G2M,7
3662-0,0,bcAAEI,35s1,1138.0,None,d4,d4,674,1138.0,-0.1513905,0.09941146,G2M,1
3663-0,0,bcEILZ,35s1,895.0,None,d4,d4,598,895.0,0.100487284,-0.10233443,S,5
3664-0,0,bcDLFN,35s1,865.0,None,d4,d4,548,865.0,0.0053830203,-0.24250217,S,3
3679-0,0,bcDISM,35s1,2985.0,None,d4,d4,1266,2985.0,-0.11915833,0.3569058,G2M,3
3680-0,0,bcHZDM,35s1,1969.0,None,d4,d4,914,1969.0,-0.06015816,-0.026303042,G1,0
3681-0,0,bcEHBF,35s1,1807.0,None,d4,d4,783,1807.0,-0.028591027,0.03221169,G2M,3
3682-0,0,bcAPTU,35s1,1615.0,None,d4,d4,805,1615.0,-0.23115665,0.10203059,G2M,4
3683-0,0,bcBFHC,35s1,1299.0,None,d4,d4,689,1299.0,0.20643435,0.16909705,S,3
3684-0,0,bcACSG,35s1,1140.0,None,d4,d4,661,1140.0,-0.18311214,0.53369594,G2M,2
3685-0,0,bcAWEP,35s1,997.0,None,d4,d4,623,997.0,0.09187475,-0.027253803,S,0
3686-0,0,bcESER,35s1,907.0,None,d4,d4,601,907.0,-0.20488364,0.016286617,G2M,0
3701-0,0,bcHGYA,35s1,2626.0,None,d4,d4,1055,2626.0,0.15968592,-0.12526633,S,1
3702-0,0,bcASWS,35s1,2134.0,None,d4,d4,1003,2134.0,0.20173834,-0.21733293,S,3
3703-0,0,bcIJGW,35s1,1595.0,None,d4,d4,811,1595.0,-0.034754686,-0.06112722,G1,2
3704-0,0,bcCYAX,35s1,1532.0,None,d4,d4,720,1532.0,-0.087236494,-0.19213243,G1,2
3705-0,0,bcGUIT,35s1,1248.0,None,d4,d4,682,1248.0,0.20544969,0.115503184,S,0
3706-0,0,bcHIJX,35s1,1037.0,None,d4,d4,623,1037.0,0.27839768,0.1070262,S,4
3707-0,0,bcCDRZ,35s1,1045.0,None,d4,d4,648,1045.0,-0.106591396,0.028713558,G2M,2
3708-0,0,bcGIKO,35s1,866.0,None,d4,d4,562,866.0,0.18322863,-0.36824298,S,1
3709-0,0,bcAKJE,35s1,797.0,None,d4,d4,548,797.0,-0.41256246,0.0032181013,G2M,6
3723-0,0,bcIHBU,35s1,3597.0,None,d4,d4,1389,3597.0,0.21956134,0.23301044,G2M,0
3724-0,0,bcAHWI,35s1,2133.0,None,d4,d4,971,2133.0,0.3264795,-0.22857714,S,2
3725-0,0,bcBHSH,35s1,1651.0,None,d4,d4,805,1651.0,-0.16860676,-0.36882758,G1,0
3726-0,0,bcDKIZ,35s1,1588.0,None,d4,d4,762,1588.0,-0.10081957,-0.19884501,G1,1
3727-0,0,bcFRRW,35s1,1436.0,None,d4,d4,727,1436.0,0.00047695823,0.24366328,G2M,1
3728-0,0,bcAPXZ,35s1,1068.0,None,d4,d4,638,1068.0,-0.096195325,0.13078198,G2M,4
3729-0,0,bcASAL,35s1,869.0,None,d4,d4,590,869.0,-0.23157959,0.1865681,G2M,1
3730-0,0,bcGMJM,35s1,859.0,None,d4,d4,545,859.0,-0.3086839,-0.016054053,G1,3
3745-0,0,bcGERM,35s1,2748.0,None,d4,d4,1148,2748.0,0.19199018,-0.09287827,S,3
3746-0,0,bcEWCW,35s1,2302.0,None,d4,d4,1001,2302.0,0.299531,0.26174378,S,3
3747-0,0,bcFFBZ,35s1,1708.0,None,d4,d4,786,1708.0,0.25581253,0.053312868,S,0
3748-0,0,bcCUIL,35s1,1622.0,None,d4,d4,763,1622.0,0.07160066,-0.012856685,S,0
3749-0,0,bcEOIC,35s1,1432.0,None,d4,d4,724,1432.0,0.29333606,-0.23594959,S,0
3750-0,0,bcGNOR,35s1,1089.0,None,d4,d4,617,1089.0,-0.16258013,-0.23584819,G1,3
3751-0,0,bcFXVR,35s1,1002.0,None,d4,d4,593,1002.0,-0.062447153,-0.0027104467,G1,0
3752-0,0,bcBTFG,35s1,827.0,None,d4,d4,543,827.0,0.22310932,-0.21935272,S,0
3767-0,0,bcHILS,35s1,3101.0,None,d4,d4,1195,3101.0,-0.3658723,-0.07378842,G1,0
3768-0,0,bcGTMF,35s1,2148.0,None,d4,d4,881,2148.0,0.27108678,-0.20646286,S,3
3769-0,0,bcGTYD,35s1,1605.0,None,d4,d4,809,1605.0,0.14529322,0.3309285,G2M,2
