id,Myogenesis,Adipogenesis,Angiogenesis,Apoptosis,G2/_checkpoint,Hypoxia,Inflammatory_response,Pluripotency,Cell_cycle,Er_stress,Skeletal_muscle_cell_differentiation,Skeletal_muscle_contraction,Go_skeletal_muscle_tissue_regeneration,Go_skeletal_muscle_organ_development,PSM,NMP,Neural
cell_77188-0,-0.1310935,-0.11744129,-0.036325313,-0.089972526,0.016682308,-0.014416981,0.023491742,0.18281141,0.14227301,0.005797984,0.0050692307,-0.09396686,0.07739106,-0.011187845,-0.34286618,,-0.49641085
cell_77192-0,-0.0031349175,0.08228229,-0.05376309,-0.101397604,-0.21150732,-0.10370513,-0.084333174,0.2375066,-0.08337344,-0.059765067,-0.1541487,-0.13827035,0.0034510132,-0.039308157,-0.34286618,,0.19853558
cell_77193-0,-0.010405687,-0.15932918,-0.13185385,-0.21694353,-0.39089736,-0.14683813,-0.08320032,-0.06093439,-0.2997356,0.002106916,0.016906135,-0.100964025,-0.06973918,-0.11160562,0.18492354,,-0.49641085
cell_77195-0,0.010558346,-0.07046137,-0.054017685,-0.015239857,0.07007666,-0.088207565,-0.07300257,0.052906487,0.050752364,0.0637713,0.052739296,-0.082351245,0.09792933,0.04859832,-0.34286618,,-0.49641085
cell_77261-0,-0.08211127,-0.12602623,-0.07108478,-0.06502013,-0.26094526,-0.07390383,-0.040659457,0.4467739,-0.3092628,-0.002595137,-0.14610398,0.0010719061,-0.036466863,-0.17099467,-0.34286618,,-0.49641085
cell_77286-0,-0.069741756,0.04097147,-0.13992463,-0.10032137,-0.075302176,-0.11290527,-0.04816749,0.37265104,-0.16334625,0.01866438,-0.06826829,-0.13730125,-0.06767912,-0.077033594,-0.34286618,,-0.49641085
cell_77471-0,-0.078557335,0.028636524,-0.21655844,-0.043360077,-0.04044947,0.007485732,-0.059830707,0.37265888,-0.0981671,0.039838903,-0.029216355,-0.12048966,0.067502305,-0.057999086,-0.34286618,,-0.49641085
cell_77954-0,-0.08087123,0.048967805,-0.115491144,-0.06851409,0.006903115,0.015707398,-0.08193911,0.34236723,0.017853448,-0.1328152,0.01623189,-0.008989471,-0.12983303,0.028355906,-0.34286618,,-0.49641085
cell_78462-0,-0.07883866,-0.013681763,-0.22676124,-0.006459819,-0.3606436,-0.022604678,-0.05992633,0.25713065,-0.2493789,-0.06432537,-0.041108128,-0.08229391,-0.043548577,-0.0490838,-0.34286618,,-0.49641085
cell_78543-0,-0.065312706,-0.111250535,-0.25129756,-0.12961003,-0.19440034,-0.025687814,-0.11453336,0.12574723,-0.16836412,-0.18267158,-0.18033811,-0.10511037,-0.060613777,-0.12622556,-0.34286618,,-0.49641085
cell_78544-0,-0.05346993,0.047319386,-0.23655243,-0.114859805,-0.231021,-0.06493265,-0.11855794,0.23099296,-0.3381812,-0.15412076,0.022626795,-0.03150945,4.000843e-05,-0.028475106,-0.34286618,,-0.49641085
cell_78848-0,-0.05516675,-0.1114682,-0.009228966,-0.008416084,-0.13916196,-0.057578646,-0.03607402,0.3765533,-0.10438197,-0.09775914,-0.22736068,-0.14873695,-0.259153,-0.15189329,-0.34286618,,-0.49641085
cell_79219-0,-0.0022487487,-0.09634732,-0.26599652,-0.13280322,-0.23389256,-0.13531299,-0.10052218,0.35722706,-0.29317886,-0.16433436,-0.05664825,-0.12557791,-0.2646072,-0.083023556,-0.34286618,,-0.49641085
cell_79308-0,-0.055619676,-0.007414866,-0.0675213,-0.004972054,-0.082694925,-0.081931375,-0.040256966,0.20729384,0.058038726,-0.033721235,0.059311975,-0.16678947,0.096037336,-0.043008734,-0.34286618,,-0.49641085
cell_79595-0,-0.06706146,-0.104400724,-0.058451816,-0.12913728,-0.13055745,-0.07933854,-0.04941862,0.033089317,0.050765593,-0.1529096,-0.08324506,-0.057922304,0.03777592,-0.11022285,0.2307788,,-0.49641085
cell_79895-0,-0.083582185,0.005805065,-0.17511214,-0.06368366,-0.17732377,-0.039955292,-0.14259224,0.4784878,-0.16871667,-0.01350141,-0.008498177,-0.11482499,-0.067916445,-0.05355767,-0.34286618,,-0.49641085
cell_79947-0,-0.06270799,-0.007995352,-0.094840646,0.036546014,-0.20144515,-0.116418414,0.025482316,0.24096054,-0.23580123,0.042910293,-0.079075925,0.056740034,-0.24918784,-0.081324086,-0.34286618,,-0.49641085
cell_80057-0,-0.08621579,-0.13832553,-0.1429428,-0.14539409,-0.27056345,-0.11532759,0.014989166,0.43294525,-0.35681224,-0.20946458,-0.09167219,-0.13101825,-0.07653586,-0.15329477,-0.34286618,,-0.49641085
cell_80097-0,-0.07908793,0.014474729,-0.20625284,-0.075743064,-0.30867693,-0.14795677,-0.07317045,0.27651125,-0.2139213,0.05970096,-0.061245225,-0.13142237,-0.12625337,-0.09150948,-0.34286618,,-0.49641085
cell_80333-0,0.015861295,-0.02510223,-0.21656752,0.06881895,-0.18746786,-0.050027136,-0.07281809,0.28226814,-0.107692964,0.027787566,-0.10485875,-0.13746777,-0.02906988,-0.12030121,-0.34286618,,-0.49641085
cell_80703-0,-0.059552383,-0.033930454,-0.095555365,-0.058490876,-0.16980228,0.058484025,-0.03799934,0.22286384,-0.20847522,0.08173404,-0.021767642,-0.09549568,-0.066514924,-0.090497345,-0.025507355,,-0.49641085
cell_80947-0,-0.07352398,0.01986848,-0.20406735,-0.049857374,-0.08356836,-0.05365121,-0.06793991,0.41503316,-0.06262105,-0.078186974,-0.025236987,-0.109103516,-0.16671212,-0.08896371,-0.34286618,,-0.49641085
cell_81402-0,-0.13263059,-0.064674966,-0.14913149,-0.13330072,-0.14646766,-0.12219725,-0.03276896,0.11951429,0.037260484,-0.09989561,0.020054113,-0.09869771,-0.027892746,-0.019719893,-0.34286618,,-0.49641085
cell_81710-0,-0.008630537,0.026977891,-0.15252486,0.011474316,-0.31899434,0.03564265,-0.017212713,0.2656621,-0.14356777,0.06061153,-0.11800921,-0.006658557,0.052569132,-0.14783274,-0.34286618,,-0.49641085
cell_82005-0,-0.029699797,-0.01991156,-0.15855344,-0.016719006,-0.11003258,-0.07665649,-0.07129151,0.15351312,-0.07007484,-0.026193796,-0.11545282,-0.15122189,-0.15522921,-0.15603581,-0.043904755,,-0.49641085
cell_82200-0,-0.045222428,0.0027535388,-0.10047886,0.06139472,-0.22441557,-0.0117658535,-0.09031601,0.4262673,-0.16616406,0.003105616,-0.054248028,-0.11307564,-0.15153988,-0.13366035,-0.34286618,,-0.49641085
cell_82983-0,-0.027073111,-0.10802316,0.043226022,-0.033762727,-0.2553169,-0.0790265,-0.012517362,0.44605246,-0.21658677,-0.10295064,-0.024586303,-0.09571003,-0.09589201,-0.101941764,-0.34286618,,-0.49641085
cell_83007-0,-0.09363533,-0.053064182,-0.17720379,-0.06610674,-0.046816997,0.13054425,-0.04446736,0.23316975,0.019339386,-0.05755183,-0.17956758,-0.07788192,0.0022914745,-0.12605138,-0.34286618,,-0.49641085
cell_83154-0,-0.014573933,-0.004483361,-0.0275383,-0.06085617,-0.21373603,0.064004205,-0.044860046,0.45957604,-0.2804237,0.05162106,0.01158247,-0.07820495,-0.076265715,-0.040127724,-0.34286618,,-0.49641085
cell_83672-0,-0.124626674,-0.033907216,-0.2721254,-0.06694204,-0.1308414,-0.06960003,-0.024449537,0.22148848,-0.19859089,-0.025553873,-0.07691138,-0.09310948,-0.08025341,-0.06318108,-0.34286618,,-0.49641085
cell_83973-0,-0.06699,0.07805445,-0.026192242,-0.02776102,-0.030452128,-0.055156678,-0.06367117,0.35889313,0.119083814,0.027548293,-0.0909952,-0.009274793,-0.072418146,-0.15498665,-0.090519965,,-0.49641085
cell_84217-0,0.0071189995,-0.042138312,-0.10566701,-0.09635788,-0.05905674,-0.08784166,0.015474766,0.4337748,0.009673737,-0.028086253,-0.11783798,-0.043042652,-0.018853031,-0.12454704,-0.082098134,,-0.49641085
cell_84521-0,-0.014395474,0.058480322,-0.019456891,0.02740825,-0.043332096,-0.023034332,-0.06752661,0.33847228,0.19515279,0.036757674,-0.053900123,-0.1659214,-0.041878454,-0.09179391,-0.036083654,,-0.49641085
cell_84539-0,-0.0020834163,0.04977843,0.060699284,0.03578103,-0.13954355,0.06423152,-0.110283114,0.19425084,-0.087198354,0.046030726,-0.08186341,-0.05082398,0.024600483,0.0027602052,-0.34286618,,-0.49641085
cell_84586-0,-0.11567532,-0.108448826,-0.10185627,-0.02247356,-0.2233508,-0.026084607,-0.0057462077,0.3206945,-0.26228723,-0.08211082,-0.22209738,-0.10640959,-0.149436,-0.1622435,-0.34286618,,-0.09914407
cell_84668-0,-0.111260004,-0.049865995,-0.14913833,-0.05397513,-0.094668336,-0.059354436,-0.039266333,0.31086737,0.035851106,0.030973159,-0.068659425,-0.075399935,-0.021992074,-0.05354883,-0.34286618,,-0.49641085
cell_84823-0,0.031537093,-0.015402128,-0.03361048,0.06749811,-0.13131961,-0.047315907,-0.04548065,0.3444591,-0.079450816,-0.0509856,-0.040731866,-0.17774312,0.02765129,-0.09620156,-0.34286618,,-0.49641085
cell_84863-0,-0.051210932,0.03551828,-0.16980153,-0.07352857,-0.10451276,-0.03791184,-0.062377136,0.38761535,-0.09105319,-0.01017643,-0.015666118,-0.090660825,0.03916886,-0.08825402,0.1338644,,-0.49641085
cell_85149-0,0.0005424345,0.05444947,-0.10958909,0.049822453,-0.07514053,-0.043257646,-0.04152166,0.31882048,0.012974786,0.035501324,-0.18839043,-0.0056605143,-0.056310985,-0.097771056,-0.34286618,,-0.49641085
cell_85217-0,-0.05405943,-0.031954568,0.11290604,-0.02960574,-0.18820408,-0.097291015,-0.040017266,0.28249317,-0.022355916,-0.11132567,0.005306917,-0.15355577,0.09469965,0.032168504,-0.34286618,,-0.49641085
cell_85275-0,0.016742479,-0.05398157,-0.033223987,-0.1225795,-0.09691337,-0.0050211092,-0.084565796,0.52549577,-0.25128338,-0.124584325,-0.013554099,0.024505133,-0.018147253,-0.123456225,-0.34286618,,-0.49641085
cell_85402-0,-0.034895204,-0.120391995,-0.09062998,-0.0855155,-0.19556269,-0.048056677,-0.041485414,0.1325222,-0.12980089,-0.23459665,-0.13335417,-0.16544954,-0.2947496,-0.17397708,-0.34286618,,-0.49641085
cell_86044-0,0.040069327,-0.012028117,0.11279604,-0.018411838,-0.10279428,-0.07975987,0.057750706,0.1069363,-0.14718369,-0.03444193,-0.09644753,0.15761133,-0.036225293,-0.04738735,-0.34286618,,-0.49641085
cell_86180-0,-0.051720977,0.04898909,-0.040980365,-0.052720252,-0.008851204,-0.072004214,-0.06302755,0.44085836,0.052850883,-0.04782599,-0.0624977,-0.12794337,-0.06270168,-0.082105465,-0.34286618,,-0.49641085
cell_86205-0,-0.079021335,-0.08096233,-0.17590818,0.10957766,-0.28921205,-0.09990764,-0.071522966,0.2691501,-0.09238665,-0.054801952,-0.10739428,-0.097730756,0.14451586,-0.13040784,-0.34286618,,-0.09725054
cell_86244-0,-0.076197796,-0.020638097,-0.14562805,0.026618013,-0.08407835,0.024669753,0.07497682,0.4365343,0.11723039,0.02914359,-0.091141544,-0.032613695,-0.05656518,-0.08720559,-0.34286618,,-0.49641085
cell_86374-0,0.027932156,0.037355304,-0.11699238,-0.057560507,-0.14552864,-0.11512754,-0.073933624,0.3588901,-0.09019179,-0.14038683,0.015143012,-0.118609086,-0.07174757,-0.042791717,-0.34286618,,-0.49641085
cell_86484-0,0.045711473,0.061512332,-0.09983982,0.016673874,-0.18823591,-0.016637122,-0.05380343,0.35240686,-0.20483568,0.049386803,0.102582365,-0.046527278,0.1537299,0.014550412,-0.34286618,,-0.49641085
cell_86630-0,0.025159642,0.078373685,-0.1212186,0.07217054,-0.13394167,0.21433133,-0.0864281,0.33652014,-0.19046302,0.026946869,-0.016894598,-0.16040173,0.03557182,-0.065492764,-0.34286618,,-0.49641085
cell_87179-0,-0.055551276,-0.022949824,-0.2346666,0.09194248,-0.051529,-0.07220505,-0.057311866,0.17710969,-0.1740517,-0.10388037,-0.063755155,-0.12798734,0.112034425,-0.093457155,0.041845087,,-0.49641085
cell_87187-0,-0.13059095,-0.0869688,-0.23481879,-0.17512262,-0.22289434,-0.109076835,-0.06826758,0.021329751,-0.31672344,-0.206335,-0.11552928,-0.14907636,0.043673668,-0.14018336,-0.34286618,,-0.49641085
cell_87213-0,-0.062014796,0.09594105,0.1864877,0.021886954,0.0072328676,0.012907591,0.018875914,0.30622533,0.052508507,0.029969413,-0.04492005,-0.105379865,-0.102070786,-0.10902049,0.025999472,,-0.49641085
cell_87236-0,-0.082795344,-0.09543449,-0.1932904,-0.12752897,-0.22570275,-0.19015045,-0.051857244,0.10823551,-0.24383217,-0.15471707,-0.15544456,-0.13661924,-0.18623501,-0.10391666,0.57799107,,-0.49641085
cell_87335-0,-0.009440529,0.08549066,-0.09400841,-0.1887724,-0.15810546,-0.012462701,-0.07447301,0.44379115,-0.14278579,0.06436784,-0.104591586,-0.15140402,-0.17192052,-0.0957688,-0.34286618,,-0.13706668
cell_87405-0,-0.017930457,0.08379015,-0.019730555,-0.05673742,-0.104909256,0.01356644,-0.021821288,0.18057393,-0.045422588,0.028773192,-0.1440424,-0.0022527247,0.10322783,-0.15890054,-0.041306887,,-0.49641085
cell_87554-0,-0.04761017,-0.16344401,-0.12281283,-0.12705512,-0.2739565,-0.107154116,-0.04784686,0.12634158,-0.2164786,-0.18016836,-0.121820666,-0.0654465,-0.1445642,-0.078167014,0.08378092,,-0.49641085
cell_87645-0,-0.024573527,-0.02310882,-0.13841815,-0.053775508,-0.28285637,-0.08152863,-0.10244659,0.38565347,-0.15806457,-0.022662504,-0.21079688,-0.09043543,-0.16678554,-0.15185711,-0.34286618,,-0.49641085
cell_87671-0,-0.07373463,0.095384695,-0.041040003,0.113951735,-0.15532331,-0.12843435,0.027553404,0.20524426,-0.16126536,-0.019171944,-0.04950982,-0.026117604,0.037867326,-0.07889868,-0.34286618,,-0.49641085
cell_87764-0,-0.07545729,-0.21594797,-0.20553613,-0.11662445,-0.19208805,-0.068872444,-0.10624951,0.11066203,-0.2133284,-0.1831748,-0.23162633,-0.09844353,-0.012688029,-0.21112871,-0.34286618,,-0.49641085
cell_87785-0,0.00061452435,0.051906064,-0.20437825,-0.008062302,-0.124934144,-0.01576653,-0.045181777,0.33574823,-0.12921613,-0.045425884,0.13428617,-0.11071052,0.18753175,0.060289823,-0.020933226,,-0.49641085
cell_88035-0,-0.08089325,-0.0034150374,-0.06656725,-0.0012150371,-0.23015667,-0.09501432,-0.027977386,0.3845376,-0.041653987,-0.09632413,0.013222601,0.03488507,-0.07860902,-0.037310462,-0.34286618,,-0.49641085
cell_88288-0,-0.015735317,-0.026931556,0.022871984,-0.017953953,0.047675475,-0.10999784,0.022253295,0.34192327,0.045124866,-0.008636871,0.014344661,0.07223229,-0.03470491,0.07065659,-0.34286618,,-0.49641085
cell_88554-0,0.041621275,0.011888182,0.05610448,0.059705745,-0.15584213,0.028870396,-0.031474993,0.3560253,0.027715212,0.04682055,-0.1481956,-0.095464185,-0.0972629,-0.14282866,-0.34286618,,-0.49641085
cell_88888-0,-0.041338224,0.0485207,-0.2815377,-0.06462739,-0.15722321,-0.1008576,-0.07165443,0.4568848,-0.038612895,-0.0146164065,0.020485578,-0.10132726,-0.0886413,-0.031981573,0.30308446,,-0.49641085
cell_89210-0,0.025005495,-0.023096655,-0.19047916,-0.14138134,-0.115857236,-0.063733466,-0.028357843,0.29947418,0.01948103,0.076558426,-0.045556895,-0.008166121,-0.071042515,-0.08330423,-0.34286618,,-0.49641085
cell_89425-0,-0.086608864,-0.031951495,-0.09476206,0.024976611,-0.25478935,-0.09758531,0.049961045,0.30608997,-0.18653533,-0.08196752,-0.089408904,-0.10019497,-0.22516757,-0.16297492,-0.34286618,,-0.49641085
cell_89447-0,-0.013973183,0.06665452,-0.09488968,0.04101177,-0.054880347,-0.0129903,-0.038954925,0.38876328,0.09961527,-0.055382412,0.0042837914,-0.109422766,-0.08546355,0.06815819,-0.34286618,,-0.49641085
cell_89625-0,-0.043462947,-0.034254286,-0.10726502,-0.013471049,-0.20089312,-0.016195722,-0.010452989,0.27844277,-0.21219952,0.047913965,-0.065539576,0.08000936,-0.045245066,-0.09667893,-0.34286618,,-0.49641085
cell_89731-0,0.007117148,0.13974635,-0.03950157,-0.036949445,-0.07907974,-0.08792518,-0.03550373,0.39518672,0.031473026,-0.016499946,-0.02753532,-0.11349177,0.036014304,-0.058662612,-0.34286618,,-0.49641085
cell_89836-0,-0.013274742,-0.013274697,-0.17538717,-0.09561595,-0.03993723,-0.02227095,-0.05523261,0.19821793,-0.09842609,-0.017764283,0.025128009,-0.0065480173,0.18916224,-0.057416797,-0.34286618,,-0.49641085
