id	x	y
cell_12329-0	11.512404	4.0667048
cell_12331-0	3.5674832	3.1533825
cell_12335-0	3.526035	3.197399
cell_12371-0	6.983723	1.5512247
cell_12377-0	7.167873	2.1972651
cell_12381-0	9.0245495	3.7872834
cell_12386-0	-2.6898487	3.7311516
cell_12388-0	8.739311	0.78493494
cell_12429-0	-3.148568	4.2420993
cell_12439-0	6.016518	6.9462833
cell_12450-0	3.361483	2.0799885
cell_12453-0	-1.1074295	5.0777273
cell_12455-0	4.6656184	3.0289936
cell_12481-0	0.096646	1.5030053
cell_12512-0	0.15010324	2.6404366
cell_12513-0	8.209941	1.4762652
cell_12516-0	-2.1573877	3.3669214
cell_12521-0	3.6957953	1.2645562
cell_12543-0	9.699137	1.8556297
cell_12550-0	10.168783	2.55953
cell_12556-0	4.844106	1.9007198
cell_12559-0	8.414352	1.8807257
cell_12570-0	4.6445465	0.65384877
cell_12606-0	8.821845	1.6682944
cell_12677-0	-2.990522	4.310208
cell_12736-0	2.403013	1.5706916
cell_12741-0	10.154528	1.7298663
cell_12750-0	9.158389	0.77436984
cell_12760-0	4.4310827	4.8254867
cell_12764-0	11.888119	2.533108
cell_12775-0	-1.2043948	2.566347
cell_12779-0	7.908548	1.3273447
cell_12792-0	4.5130258	0.92223865
cell_12796-0	2.5810163	0.9319116
cell_12808-0	-2.169898	4.6826816
cell_12817-0	1.2988555	1.2816993
cell_12821-0	5.167898	1.4948164
cell_12835-0	0.5189255	1.9517075
cell_12841-0	-2.4264777	3.765529
cell_12843-0	-1.7849395	2.6236541
cell_12858-0	8.709525	0.87830114
cell_12868-0	6.3094425	1.7903205
cell_12904-0	1.5268302	2.5897872
cell_12908-0	-0.10789445	2.878677
cell_12911-0	1.1800348	2.0674205
cell_12915-0	1.0296403	2.5276382
cell_12929-0	1.3271643	4.826809
cell_12956-0	4.9131527	2.6275594
cell_12973-0	-1.4254051	5.590916
cell_12982-0	4.4044666	0.71487486
cell_12986-0	8.6251745	1.5698262
cell_13001-0	6.63632	3.8419383
cell_13003-0	-2.7503645	3.6636693
cell_13006-0	4.128573	1.7205142
cell_13014-0	1.9843035	4.388652
cell_13023-0	6.2156105	2.6806624
cell_13025-0	7.8878937	1.8930055
cell_13056-0	-0.065929905	4.745203
