,0_names,0_pvals,0_logfoldchanges,1_names,1_pvals,1_logfoldchanges,2_names,2_pvals,2_logfoldchanges,3_names,3_pvals,3_logfoldchanges,4_names,4_pvals,4_logfoldchanges,5_names,5_pvals,5_logfoldchanges,6_names,6_pvals,6_logfoldchanges
276,RRS1,0.44097177601551274,0.14248864,RAI14,0.3442795371831331,1.6525303,TIMM21,0.5591423707261722,0.52352446,BUB1,0.3060361325200066,0.42003042,RBFOX2,0.3827391482238548,1.3047409,LMO4,0.01604442335182494,0.689362,TMEM184C,0.2753728845750283,1.0937095
277,UPF3B,0.44171089580349676,0.24498531,CRMP1B,0.3443759028931752,0.33617476,FBLN1,0.5628954066096126,0.6610869,MTAP,0.30643447973481097,0.95972216,MAP1B,0.3829936951521845,0.46182793,EIF4A3,0.016171702285849236,0.4860088,PPM1G,0.275626528887012,0.7291024
278,FBF1,0.44219170378653117,0.8292471,TIMMDC1,0.34476153784305497,0.35689345,ATP1A1,0.5631303743421312,0.15083548,MLH3,0.3069056964998994,2.0168684,CHMP4B,0.3835455692037316,0.28432372,UQCRB,0.016251701503649706,1.096172,ITM2B,0.2758803325568797,0.99426186
279,RBL2,0.4470162256568301,0.90204537,SEC31B,0.34530832537556533,0.6424756,AVEN,0.563271377685522,1.7204345,CTTN,0.3083586031097729,0.41479546,DENND1A,0.3840554233421255,1.2254585,CYB5A,0.016372352389731344,1.7215886,DUSP23,0.2789384121756878,1.0460752
280,SNIP1,0.4470162256568301,0.90204525,MCRIP1,0.3454370615709548,0.38877743,SNRPD3,0.5635534354369208,0.043734647,PDAP1,0.31168088717688525,0.20533642,UGP2,0.3851189507896541,0.62561643,MEA1,0.016437020735765404,1.3624446,RACGAP1,0.27945032520196955,0.8083785
281,RAB30,0.4470534530392347,0.33259386,FAM18B1,0.3458556654681286,0.64447016,PXK,0.5662363738633185,1.2793288,FBXO7,0.31171752639837746,0.90044147,EVI5,0.38609898430179346,0.84803814,ARF4,0.01659559071114395,0.65628356,SMN,0.27970652108568483,0.8702408
282,PSMD4,0.44925298769524025,0.17968862,CSNK1G1,0.34640355805153666,0.3935336,SPTY2D1,0.5665662796298483,0.6009447,ZFAND5,0.31248760596471215,0.8671087,COX7B,0.3879353009799673,0.14565198,MRPS17,0.01662419375301031,1.1414391,UNG,0.28013386889802727,0.7358519
283,PDIA5,0.4498878892795285,0.34673315,ERI1,0.346661581008744,0.5642733,PKNOX1,0.5667076960298788,1.2378674,MDH1,0.31292821365434575,0.22613329,HOXA3,0.388405909891009,0.7380111,HDAC2,0.016681529736237412,0.753637,LRPAP1,0.2804760663914232,1.3186083
284,CEBPZ,0.45250754180719355,0.18876833,TSSC4,0.3475979396247503,0.40696916,BYSL,0.567179206225764,0.11604941,SLC19A1,0.3136634684706584,0.41312683,COMMD1,0.38844870975411105,1.0584817,UFM1,0.016759620546197066,1.8610934,GRK3,0.28322386618044815,1.6866032
285,COA5,0.4538205929597793,0.3433146,RPL4,0.3492485373504749,0.06232278,PPARD,0.5688309704222098,0.9819907,RNF111,0.31535886516824874,1.0706375,REXO2,0.38857712657625476,0.43135595,EAF2,0.016838032109028605,2.0461118,BNIP3L,0.28348240424869553,1.1103638
286,SEC62,0.4558130125084038,0.48469055,NAA35,0.3501243947262296,0.882885,FAM169A,0.5690198897198482,0.91996217,HSPH1,0.315839088057273,0.47287875,VCAN,0.3890053693189509,0.5065934,SUMO1,0.016933382076184632,0.8081093,YWHAG,0.2845181546431971,0.5659958
287,TMA16,0.4558506525742969,0.88242865,RSPRY1,0.3510666811060663,0.76068467,TM2D2,0.5690671242265015,0.39296928,HNRNPM,0.3175421918781516,0.28517112,RAD18,0.38943389919335225,1.0027815,MDH1,0.017016679947247152,0.5872717,FAM49B,0.28477749183573287,1.3597926
288,COPS9,0.4564154633584798,0.29021764,RTF1,0.3512293065713815,0.1186456,ECH1,0.5698231308996667,0.29665706,AKR1E2,0.31891644025276367,1.6586447,CD276,0.39012014405871964,0.42316845,CTBPL,0.0171339009487349,0.9636052,APP,0.28555646263848855,1.193923
289,SPOP,0.45686759511182307,0.3570108,EIF2S2,0.35191285469931666,0.11541763,BRCC3,0.5698231308996667,0.5363952,STK26,0.3199589961943897,0.37554592,ND4L,0.39085008413446576,0.3460598,GLRX3,0.017154907652628542,0.52922434,IGF1R,0.28729266165014844,0.93246037
290,ASNS,0.45879196000012235,0.20277132,HSPH1,0.3545572812502604,0.30973923,POLR3B,0.5703904501176222,0.15111266,AK2,0.32007083066470354,0.17548002,ZBTB14,0.39093601394367683,0.8260628,SNRPG,0.017201201948610037,0.47484863,ATP5PF,0.289123322936111,0.6306235
