index,batch,cell_names,library_id,n_counts,unique_cell_id,time_id,sample_id,n_genes,n_counts_pre_norm,S_score,G2M_score,phase,leiden
2416-0,0,bcBAOB,6s1,821.0,None,d3,d3,540,821.0,0.025016375,-0.3303805,S,0
2417-0,0,bcCTQU,6s1,714.0,None,d3,d3,573,714.0,-0.1621912,0.095204875,G2M,3
2540-0,0,bcFAEJ,6s1,4318.0,None,d3,d3,1549,4318.0,0.13338156,0.049203083,S,3
2541-0,0,bcFAUL,6s1,1246.0,None,d3,d3,710,1246.0,-0.032056905,0.08753008,G2M,3
2542-0,0,bcBLNG,6s1,985.0,None,d3,d3,622,985.0,0.07289271,-0.26002732,S,2
2543-0,0,bcCUSN,6s1,819.0,None,d3,d3,531,819.0,-0.20291634,-0.0011639353,G1,0
2544-0,0,bcAZLV,6s1,701.0,None,d3,d3,562,701.0,0.10867551,-0.10415889,S,0
2545-0,0,bcBAYA,6s1,707.0,None,d3,d3,568,707.0,-0.021966662,-0.11942573,G1,2
2667-0,0,bcFCVP,6s1,4482.0,None,d3,d3,1651,4482.0,-0.1410206,0.23163626,G2M,5
2668-0,0,bcGEMZ,6s1,1177.0,None,d3,d3,628,1177.0,0.27754253,-0.06062889,S,1
2669-0,0,bcHWAH,6s1,1007.0,None,d3,d3,602,1007.0,-0.052560795,0.020811584,G2M,1
2670-0,0,bcCASM,6s1,920.0,None,d3,d3,560,920.0,0.012415649,-0.17260218,S,0
2794-0,0,bcBHXC,6s1,4395.0,None,d3,d3,1647,4395.0,0.07760757,0.1536103,G2M,5
2795-0,0,bcAEKO,6s1,1462.0,None,d3,d3,709,1462.0,0.25429112,-0.025290748,S,2
2796-0,0,bcDATN,6s1,1054.0,None,d3,d3,614,1054.0,-0.24859908,0.082539365,G2M,2
2921-0,0,bcHCHS,6s1,4215.0,None,d3,d3,1567,4215.0,0.2900253,0.028728517,S,3
2922-0,0,bcBGGR,6s1,1271.0,None,d3,d3,691,1271.0,0.19460006,0.13345543,S,1
2923-0,0,bcCNIZ,6s1,1039.0,None,d3,d3,582,1039.0,0.102756,0.10404039,G2M,3
2924-0,0,bcAGWF,6s1,748.0,None,d3,d3,561,748.0,0.06314511,0.16133237,G2M,4
3048-0,0,bcGOCP,6s1,3577.0,None,d3,d3,1492,3577.0,-0.24589187,0.5060154,G2M,3
3049-0,0,bcEATA,6s1,1321.0,None,d3,d3,716,1321.0,-0.08734673,0.19855413,G2M,4
3050-0,0,bcFHAW,6s1,806.0,None,d3,d3,617,806.0,0.3379666,0.02814525,S,3
3051-0,0,bcDONS,6s1,802.0,None,d3,d3,588,802.0,-0.26531017,-0.009742416,G1,1
3052-0,0,bcFUJQ,6s1,691.0,None,d3,d3,555,691.0,-0.3124059,0.19323277,G2M,0
3175-0,0,bcEKUR,6s1,4692.0,None,d3,d3,1370,4692.0,-0.19139451,-0.16734901,G1,1
3176-0,0,bcCJZV,6s1,1430.0,None,d3,d3,660,1430.0,-0.0789763,0.32620844,G2M,1
3177-0,0,bcEPEP,6s1,1097.0,None,d3,d3,621,1097.0,-0.17295602,-0.02822886,G1,0
3178-0,0,bcAYHJ,6s1,799.0,None,d3,d3,600,799.0,0.14240871,-0.35981107,S,1
3302-0,0,bcBAZY,6s1,4749.0,None,d3,d3,1685,4749.0,0.1026794,-0.10297428,S,5
3303-0,0,bcFGUV,6s1,1376.0,None,d3,d3,696,1376.0,0.053386804,-0.010744154,S,3
3304-0,0,bcANZB,6s1,926.0,None,d3,d3,627,926.0,-0.05242858,0.013336295,G2M,1
3305-0,0,bcDEVZ,6s1,693.0,None,d3,d3,598,693.0,0.22191994,0.44205102,G2M,2
3429-0,0,bcHXNE,6s1,3972.0,None,d3,d3,1483,3972.0,0.14255491,-0.18309022,S,1
3430-0,0,bcCKJA,6s1,1303.0,None,d3,d3,656,1303.0,-0.18875644,-0.19606465,G1,2
3431-0,0,bcGBWF,6s1,1053.0,None,d3,d3,603,1053.0,-0.06924721,-0.1815845,G1,0
3432-0,0,bcAUMX,6s1,840.0,None,d3,d3,592,840.0,0.045926366,0.1361436,G2M,0
3433-0,0,bcFWOD,6s1,709.0,None,d3,d3,566,709.0,0.31306654,-0.061237812,S,4
3434-0,0,bcECOX,6s1,658.0,None,d3,d3,589,658.0,-0.24003105,0.15680608,G2M,0
3556-0,0,bcAQTO,6s1,3841.0,None,d3,d3,1510,3841.0,0.24543306,-0.18392193,S,5
3557-0,0,bcEDNQ,6s1,1357.0,None,d3,d3,667,1357.0,-0.30921012,-0.028706014,G1,0
3558-0,0,bcEPVZ,6s1,989.0,None,d3,d3,626,989.0,-0.331183,0.35042787,G2M,1
3559-0,0,bcAPHP,6s1,855.0,None,d3,d3,616,855.0,-0.22624946,-0.10285331,G1,2
3683-0,0,bcBMCF,6s1,3438.0,None,d3,d3,1418,3438.0,0.121926524,0.24529731,G2M,0
3684-0,0,bcFVRY,6s1,1348.0,None,d3,d3,675,1348.0,-0.15508997,0.2905159,G2M,2
3685-0,0,bcIFZA,6s1,883.0,None,d3,d3,601,883.0,0.29421517,-0.15789351,S,2
3686-0,0,bcCKXV,6s1,830.0,None,d3,d3,577,830.0,0.3383533,0.30151704,S,4
3687-0,0,bcAANI,6s1,768.0,None,d3,d3,536,768.0,-0.07876625,0.0060881786,G2M,2
